id,borought,type,latitude,longitude,price,rating
2539,Brooklyn,Private room,40.64749,-73.97237,149,very high
2595,Manhattan,Entire home/apt,40.75362,-73.98377,225,regular
3647,Manhattan,Private room,40.80902,-73.9419,150,high
3831,Brooklyn,Entire home/apt,40.68514,-73.95976,89,low
5022,Manhattan,Entire home/apt,40.79851,-73.94399,80,low
5099,Manhattan,Entire home/apt,40.74767,-73.975,200,regular
5121,Brooklyn,Private room,40.68688,-73.95596,60,regular
5178,Manhattan,Private room,40.76489,-73.98493,79,regular
5203,Manhattan,Private room,40.80178,-73.96723,79,regular
5238,Manhattan,Entire home/apt,40.71344,-73.99037,150,regular
5295,Manhattan,Entire home/apt,40.80316,-73.96545,135,low
5441,Manhattan,Private room,40.76076,-73.98867,85,regular
5803,Brooklyn,Private room,40.66829,-73.98779,89,high
6021,Manhattan,Private room,40.79826,-73.96113,85,regular
6090,Manhattan,Entire home/apt,40.7353,-74.00525,120,low
6848,Brooklyn,Entire home/apt,40.70837,-73.95352,140,regular
7097,Brooklyn,Entire home/apt,40.69169,-73.97185,215,high
7322,Manhattan,Private room,40.74192,-73.99501,140,high
7726,Brooklyn,Entire home/apt,40.67592,-73.94694,99,low
7750,Manhattan,Entire home/apt,40.79685,-73.94872,190,regular
7801,Brooklyn,Entire home/apt,40.71842,-73.95718,299,high
8024,Brooklyn,Private room,40.68069,-73.97706,130,very high
8025,Brooklyn,Private room,40.67989,-73.97798,80,high
8110,Brooklyn,Private room,40.68001,-73.97865,110,high
8490,Brooklyn,Entire home/apt,40.68371,-73.94028,120,regular
8505,Brooklyn,Private room,40.65599,-73.97519,60,regular
8700,Manhattan,Private room,40.86754,-73.92639,80,regular
9357,Manhattan,Entire home/apt,40.76715,-73.98533,150,regular
9518,Manhattan,Private room,40.86482,-73.92106,44,low
9657,Manhattan,Entire home/apt,40.7292,-73.98542,180,regular
9668,Manhattan,Private room,40.82245,-73.95104,50,low
9704,Manhattan,Private room,40.81305,-73.95466,52,low
9782,Brooklyn,Private room,40.72219,-73.93762,55,regular
9783,Manhattan,Private room,40.8213,-73.95318,50,low
10452,Brooklyn,Private room,40.6831,-73.95473,70,regular
10962,Brooklyn,Private room,40.66869,-73.9878,89,high
11452,Brooklyn,Private room,40.68876,-73.94312,35,low
11708,Brooklyn,Entire home/apt,40.70186,-73.92745,85,low
11943,Brooklyn,Private room,40.63702,-73.96327,150,very high
12048,Manhattan,Shared room,40.71401,-73.98917,40,low
12192,Manhattan,Private room,40.7229,-73.98199,68,regular
12299,Brooklyn,Entire home/apt,40.66278,-73.97966,120,regular
12303,Brooklyn,Private room,40.69673,-73.97584,120,high
12318,Manhattan,Private room,40.79009,-73.97927,135,high
12343,Manhattan,Entire home/apt,40.81175,-73.94478,150,regular
12627,Brooklyn,Entire home/apt,40.65944,-73.96238,150,regular
12937,Queens,Private room,40.74771,-73.9474,130,very high
12940,Brooklyn,Entire home/apt,40.68111,-73.95591,110,regular
