Book_ID,"Book Title","Book Subtitle","Book Author","Book Narrator","Audio Runtime",Audiobook_Type,Categories,Rating,"Total No. of Ratings",Price
1,"Bamboozled by Jesus","How God Tricked Me into the Life of My Dreams","Yvonne Orji","Yvonne Orji","6 hrs and 31 mins","Unabridged Audiobook","Biographies & Memoirs",5,47,"$29.65 "
2,"Sixth Realm Part 1","A LitRPG Fantasy Series (The Ten Realms, Book 6)","Michael Chatfield","Neil Hellegers","13 hrs and 33 mins","Unabridged Audiobook","Science Fiction & Fantasy",4.5,98,"$24.95 "
3,"Go Tell the Bees That I Am Gone","Outlander, Book 9","Diana Gabaldon","Davina Porter","27 hrs and 30 mins","Unabridged Audiobook","Science Fiction & Fantasy",NULL,NULL,"$41.99 "
4,"How the Word Is Passed","A Reckoning with the History of Slavery Across America","Clint Smith","Clint Smith","10 hrs and 7 mins","Unabridged Audiobook",History,NULL,NULL,"$29.65 "
5,"The Devil May Dance","A Novel","Jake Tapper","Rob Shapiro","10 hrs and 12 mins","Unabridged Audiobook","Mystery, Thriller & Suspense",4.5,108,"$29.65 "
6,"Shadow Storm","Shadow Rider, Book 6","Christine Feehan","Jim Frangione","13 hrs and 42 mins","Unabridged Audiobook","Mystery, Thriller & Suspense",4.8,124,"$31.49 "
7,"American Marxism",NULL,"Mark R. Levin","Jeremy Lowell","6 hrs and 30 mins","Unabridged Audiobook","Politics & Social Sciences",NULL,NULL,"$18.89 "
8,Mercy,NULL,"David Baldacci",NULL,"13 hrs",NULL,NULL,"Not rated yet",NULL,"$30.79 "
9,"Dream Spinner",NULL,"Kristen Ashley","Susannah Jones","12 hrs and 45 mins","Unabridged Audiobook",Romance,4.6,101,"$29.65 "
10,"Fortune Funhouse","Miss Fortune Mysteries, Book 19","Jana DeLeon","Cassandra Campbell","9 hrs and 21 mins","Unabridged Audiobook","Mystery, Thriller & Suspense",4.9,414,"$19.95 "
11,Godblight,"Dark Imperium: Warhammer 40,000, Book 3","Guy Haley","John Banks","13 hrs and 2 mins","Unabridged Audiobook","Science Fiction & Fantasy",4.7,3,"$32.71 "
12,"The Missing Sister",NULL,"Lucinda Riley","Caroline Lennon","23 hrs and 48 mins","Unabridged Audiobook","Literature & Fiction",4.3,3,"$32.71 "
13,"The Bomber Mafia","A Dream, a Temptation, and the Longest Night of the Second World War","Malcolm Gladwell","Malcolm Gladwell","5 hrs and 14 mins","Unabridged Audiobook",History,4.7,1923,"$22.40 "
14,Yearbook,NULL,"Seth Rogen","Seth Rogen","6 hrs and 13 mins","Unabridged Audiobook","Biographies & Memoirs",4.8,1614,"$28.00 "
15,Unsettled,"What Climate Science Tells Us, What It Doesn't, and Why It Matters","Steven E. Koonin","Jay Aaseng","7 hrs and 14 mins","Unabridged Audiobook","Politics & Social Sciences",4.9,63,"$15.40 "
16,Legacy,"A Novel","Nora Roberts","January LaVoy","14 hrs and 57 mins","Unabridged Audiobook","Literature & Fiction",4.8,329,"$31.18 "
17,"How to Do the Work","Recognize Your Patterns, Heal from Your Past, and Create Your Self","Dr. Nicole LePera","Courtney Patterson","9 hrs and 42 mins","Unabridged Audiobook","Health & Wellness",4.5,46,"$30.79 "
18,Breakaway,"Expeditionary Force, Book 12","Craig Alanson","R.C. Bray","19 hrs and 22 mins","Unabridged Audiobook","Science Fiction & Fantasy",NULL,NULL,"$59.99 "
19,"The 1619 Project","A New Origin Story","Nikole Hannah-Jones",NULL,"8 hrs",NULL,NULL,"Not rated yet",NULL,"$28.00 "
20,Greenlights,NULL,"Matthew McConaughey","Matthew McConaughey","6 hrs and 42 mins","Unabridged Audiobook","Biographies & Memoirs",4.9,78263,"$28.00 "
21,"Something Wicked This Way Comes",NULL,"Ray Bradbury","Christian Rummel","9 hrs and 5 mins","Unabridged Audiobook","Literature & Fiction",4.2,4593,"$19.95 "
22,"The Saboteurs","An Isaac Bell Adventure, Book 12","Clive Cussler","Scott Brick","11 hrs and 14 mins","Unabridged Audiobook","Literature & Fiction",4.8,62,"$31.50 "
23,"What Happened to You?","Conversations on Trauma, Resilience, and Healing","Oprah Winfrey","Bruce D. Perry","8 hrs and 27 mins","Unabridged Audiobook","Health & Wellness",4.9,2048,"$20.99 "
24,"The Last Thing He Told Me","A Novel","Laura Dave","Rebecca Lowman","8 hrs and 49 mins","Unabridged Audiobook","Literature & Fiction",4.5,4460,"$22.67 "
25,"Chasing Fire",NULL,"Nora Roberts","Rebecca Lowman","15 hrs and 10 mins","Unabridged Audiobook","Literature & Fiction",4.4,6632,"$29.99 "
26,"Project Hail Mary",NULL,"Andy Weir","Ray Porter","16 hrs and 10 mins","Unabridged Audiobook","Science Fiction & Fantasy",4.9,17208,"$29.95 "
