id,location,type,price,low_limit,quart_1,quart_3,high,price_rating
2539,Brooklyn,Private room,149,5.0,50,80,125.0,Very High
2595,Manhattan,Entire home/apt,225,0.0,142,259,434.5,Regular
3647,Manhattan,Private room,150,10.0,68,120,198.0,High
3831,Brooklyn,Entire home/apt,89,0.0,105,199,340.0,Low
5022,Manhattan,Entire home/apt,80,0.0,142,259,434.5,Low
5099,Manhattan,Entire home/apt,200,0.0,142,259,434.5,Regular
5121,Brooklyn,Private room,60,5.0,50,80,125.0,Regular
5178,Manhattan,Private room,79,10.0,68,120,198.0,Regular
5203,Manhattan,Private room,79,10.0,68,120,198.0,Regular
5238,Manhattan,Entire home/apt,150,0.0,142,259,434.5,Regular
5295,Manhattan,Entire home/apt,135,0.0,142,259,434.5,Low
5441,Manhattan,Private room,85,10.0,68,120,198.0,Regular
5803,Brooklyn,Private room,89,5.0,50,80,125.0,High
6021,Manhattan,Private room,85,10.0,68,120,198.0,Regular
6090,Manhattan,Entire home/apt,120,0.0,142,259,434.5,Low
6848,Brooklyn,Entire home/apt,140,0.0,105,199,340.0,Regular
7097,Brooklyn,Entire home/apt,215,0.0,105,199,340.0,High
7322,Manhattan,Private room,140,10.0,68,120,198.0,High
7726,Brooklyn,Entire home/apt,99,0.0,105,199,340.0,Low
7750,Manhattan,Entire home/apt,190,0.0,142,259,434.5,Regular
7801,Brooklyn,Entire home/apt,299,0.0,105,199,340.0,High
8024,Brooklyn,Private room,130,5.0,50,80,125.0,Very High
8025,Brooklyn,Private room,80,5.0,50,80,125.0,High
8110,Brooklyn,Private room,110,5.0,50,80,125.0,High
8490,Brooklyn,Entire home/apt,120,0.0,105,199,340.0,Regular
8505,Brooklyn,Private room,60,5.0,50,80,125.0,Regular
8700,Manhattan,Private room,80,10.0,68,120,198.0,Regular
9357,Manhattan,Entire home/apt,150,0.0,142,259,434.5,Regular
9518,Manhattan,Private room,44,10.0,68,120,198.0,Low
9657,Manhattan,Entire home/apt,180,0.0,142,259,434.5,Regular
9668,Manhattan,Private room,50,10.0,68,120,198.0,Low
9704,Manhattan,Private room,52,10.0,68,120,198.0,Low
9782,Brooklyn,Private room,55,5.0,50,80,125.0,Regular
9783,Manhattan,Private room,50,10.0,68,120,198.0,Low
10452,Brooklyn,Private room,70,5.0,50,80,125.0,Regular
10962,Brooklyn,Private room,89,5.0,50,80,125.0,High
11452,Brooklyn,Private room,35,5.0,50,80,125.0,Low
11708,Brooklyn,Entire home/apt,85,0.0,105,199,340.0,Low
11943,Brooklyn,Private room,150,5.0,50,80,125.0,Very High
12048,Manhattan,Shared room,40,10.0,49,89,149.0,Low
12192,Manhattan,Private room,68,10.0,68,120,198.0,Regular
12299,Brooklyn,Entire home/apt,120,0.0,105,199,340.0,Regular
12303,Brooklyn,Private room,120,5.0,50,80,125.0,High
12318,Manhattan,Private room,135,10.0,68,120,198.0,High
12343,Manhattan,Entire home/apt,150,0.0,142,259,434.5,Regular
12627,Brooklyn,Entire home/apt,150,0.0,105,199,340.0,Regular
12937,Queens,Private room,130,10.0,47,75,117.0,Very High
12940,Brooklyn,Entire home/apt,110,0.0,105,199,340.0,Regular
13050,Brooklyn,Entire home/apt,115,0.0,105,199,340.0,Regular
13394,Brooklyn,Private room,80,5.0,50,80,125.0,High
13808,Brooklyn,Private room,80,5.0,50,80,125.0,High
14287,Manhattan,Entire home/apt,151,0.0,142,259,434.5,Regular
14290,Brooklyn,Entire home/apt,228,0.0,105,199,340.0,High
14314,Brooklyn,Entire home/apt,144,0.0,105,199,340.0,Regular
14322,Manhattan,Entire home/apt,200,0.0,142,259,434.5,Regular
14377,Brooklyn,Entire home/apt,150,0.0,105,199,340.0,Regular
14991,Manhattan,Private room,110,10.0,68,120,198.0,Regular
15220,Manhattan,Private room,69,10.0,68,120,198.0,Regular
15338,Brooklyn,Private room,49,5.0,50,80,125.0,Low
15341,Manhattan,Entire home/apt,180,0.0,142,259,434.5,Regular
15385,Brooklyn,Private room,80,5.0,50,80,125.0,High
15396,Manhattan,Entire home/apt,375,0.0,142,259,434.5,High
15711,Manhattan,Entire home/apt,250,0.0,142,259,434.5,Regular
16326,Brooklyn,Entire home/apt,200,0.0,105,199,340.0,High
16338,Brooklyn,Private room,55,5.0,50,80,125.0,Regular
16421,Manhattan,Private room,52,10.0,68,120,198.0,Low
16458,Brooklyn,Entire home/apt,225,0.0,105,199,340.0,High
16580,Manhattan,Private room,80,10.0,68,120,198.0,Regular
16595,Brooklyn,Entire home/apt,275,0.0,105,199,340.0,High
16821,Manhattan,Private room,99,10.0,68,120,198.0,Regular
16974,Manhattan,Entire home/apt,225,0.0,142,259,434.5,Regular
17037,Manhattan,Entire home/apt,230,0.0,142,259,434.5,Regular
17092,Manhattan,Private room,51,10.0,68,120,198.0,Low
17693,Manhattan,Private room,65,10.0,68,120,198.0,Low
17747,Brooklyn,Private room,105,5.0,50,80,125.0,High
18127,Manhattan,Entire home/apt,190,0.0,142,259,434.5,Regular
18152,Manhattan,Private room,200,10.0,68,120,198.0,Very High
18198,Queens,Private room,70,10.0,47,75,117.0,Regular
18590,Brooklyn,Private room,95,5.0,50,80,125.0,High
18728,Manhattan,Private room,150,10.0,68,120,198.0,High
18764,Brooklyn,Private room,145,5.0,50,80,125.0,Very High
19159,Manhattan,Entire home/apt,110,0.0,142,259,434.5,Low
19169,Manhattan,Entire home/apt,285,0.0,142,259,434.5,High
19282,Brooklyn,Entire home/apt,130,0.0,105,199,340.0,Regular
19319,Manhattan,Private room,94,10.0,68,120,198.0,Regular
19601,Brooklyn,Entire home/apt,800,0.0,105,199,340.0,Very High
19812,Brooklyn,Entire home/apt,105,0.0,105,199,340.0,Regular
20299,Manhattan,Private room,60,10.0,68,120,198.0,Low
20300,Manhattan,Private room,50,10.0,68,120,198.0,Low
20611,Brooklyn,Private room,85,5.0,50,80,125.0,High
20724,Brooklyn,Private room,65,5.0,50,80,125.0,Regular
20734,Brooklyn,Entire home/apt,131,0.0,105,199,340.0,Regular
20755,Brooklyn,Private room,98,5.0,50,80,125.0,High
20853,Brooklyn,Entire home/apt,250,0.0,105,199,340.0,High
20913,Brooklyn,Entire home/apt,100,0.0,105,199,340.0,Low
21293,Brooklyn,Entire home/apt,105,0.0,105,199,340.0,Regular
21456,Manhattan,Entire home/apt,140,0.0,142,259,434.5,Low
21644,Manhattan,Private room,89,10.0,68,120,198.0,Regular
21794,Manhattan,Private room,98,10.0,68,120,198.0,Regular
22911,Brooklyn,Entire home/apt,125,0.0,105,199,340.0,Regular
22918,Manhattan,Private room,60,10.0,68,120,198.0,Low
23135,Brooklyn,Entire home/apt,175,0.0,105,199,340.0,Regular
23501,Manhattan,Private room,65,10.0,68,120,198.0,Low
23686,Manhattan,Entire home/apt,500,0.0,142,259,434.5,Very High
24143,Brooklyn,Private room,101,5.0,50,80,125.0,High
24285,Brooklyn,Entire home/apt,220,0.0,105,199,340.0,High
25235,Brooklyn,Entire home/apt,125,0.0,105,199,340.0,Regular
25406,Brooklyn,Entire home/apt,80,0.0,105,199,340.0,Low
25696,Manhattan,Private room,100,10.0,68,120,198.0,Regular
26012,Brooklyn,Entire home/apt,200,0.0,105,199,340.0,High
26362,Manhattan,Private room,59,10.0,68,120,198.0,Low
26520,Brooklyn,Private room,125,5.0,50,80,125.0,Very High
26559,Manhattan,Entire home/apt,140,0.0,142,259,434.5,Low
26785,Brooklyn,Entire home/apt,120,0.0,105,199,340.0,Regular
26933,Manhattan,Entire home/apt,350,0.0,142,259,434.5,High
26954,Manhattan,Entire home/apt,199,0.0,142,259,434.5,Regular
26969,Brooklyn,Entire home/apt,325,0.0,105,199,340.0,High
27006,Manhattan,Entire home/apt,235,0.0,142,259,434.5,Regular
